,0
0,58.93
1,58.92
2,58.88
3,58.84
4,58.87
5,58.91
6,58.77
7,58.9
8,58.88
9,58.9
10,58.93
11,58.82
12,58.94
13,58.89
14,58.96
15,58.92
16,58.92
17,58.77
18,58.9
19,58.94
20,58.89
21,58.87
22,58.85
23,58.82
24,58.82
25,58.85
26,58.86
27,58.85
28,58.86
29,58.84
30,58.8
31,58.93
32,58.91
33,58.73
34,58.86
35,58.84
36,58.68
37,58.86
38,58.88
39,58.9
40,58.89
41,58.76
42,58.91
43,58.88
44,58.89
45,58.95
46,58.82
47,58.88
48,58.9
49,58.93
50,58.92
51,58.93
52,58.92
53,58.81
54,58.78
55,58.89
56,58.88
57,58.86
58,58.87
59,58.9
60,58.87
61,58.9
62,58.91
63,58.71
64,58.74
65,58.86
66,58.94
67,58.93
68,58.81
69,58.95
70,58.91
71,58.89
72,58.82
73,58.89
74,58.87
75,58.9
76,58.79
77,58.9
78,58.77
79,58.95
80,58.91
81,58.94
82,58.85
83,58.84
84,58.75
85,58.9
86,58.82
87,58.94
88,58.91
89,58.92
90,58.87
91,58.79
92,58.96
93,58.9
94,58.92
95,58.9
96,58.89
97,58.91
98,58.93
99,58.91
100,58.91
101,58.93
102,58.86
103,58.88
104,58.91
105,58.92
106,58.94
107,58.91
108,58.84
109,58.84
110,58.91
111,58.79
112,58.93
113,58.9
114,58.83
115,58.93
116,58.81
117,58.92
118,58.8
119,58.92
120,58.91
121,58.84
122,58.81
123,58.89
124,58.82
125,58.9
126,58.75
127,58.93
128,58.89
129,58.85
130,58.91
131,58.91
132,58.87
133,58.92
134,58.84
135,58.92
