,0
0,41.66
1,44.52
2,48.97
3,32.08
4,126.73
5,37.23
6,101.95
7,38.7
8,74.34
9,36.3
10,100.71
11,41.14
12,79.27
13,62.3
14,76.01
15,56.64
16,82.3
17,37.5
18,50.32
19,86.39
20,27.08
21,59.93
22,61.27
23,60.28
24,45.92
25,47.32
26,84.55
27,55.87
28,69.61
29,54.0
30,86.18
31,60.16
32,37.35
33,54.19
34,120.25
35,31.22
36,71.1
37,43.12
38,48.56
39,109.37
40,90.57
41,60.7
42,51.05
43,63.4
44,43.12
45,54.94
46,33.75
47,31.11
48,63.15
49,38.48
50,61.97
51,46.5
52,115.25
53,60.31
54,57.06
55,45.56
56,82.6
57,46.97
58,31.4
59,85.05
60,52.36
61,49.27
62,70.33
63,60.3
64,32.72
65,53.35
66,47.04
67,33.97
68,56.54
69,38.07
70,35.21
71,46.69
72,29.69
73,51.38
74,52.92
75,58.67
76,44.83
77,29.97
78,62.25
79,67.18
80,83.69
81,52.67
82,38.29
83,38.36
84,42.53
85,56.15
86,57.51
87,81.2
88,48.64
89,94.9
90,48.82
91,44.91
92,83.17
93,45.57
94,43.82
95,122.63
96,74.39
97,62.24
98,33.39
99,45.58
100,49.38
101,40.53
102,76.39
103,106.93
104,83.39
105,65.94
106,43.59
107,62.25
108,69.65
109,28.27
110,102.77
111,84.43
112,55.65
113,38.37
114,59.91
115,61.6
116,83.57
117,39.29
118,51.39
119,33.88
120,46.01
121,67.36
122,48.84
123,64.43
124,97.99
125,46.42
126,69.82
127,72.07
128,46.09
129,27.71
130,28.22
131,89.51
132,35.08
133,25.94
134,41.51
135,111.29
