,0
0,101.7
1,83.68
2,80.62
3,54.11
4,46.01
5,40.15
6,40.96
7,113.63
8,53.31
9,87.61
10,56.16
11,41.8
12,61.58
13,104.6
14,46.93
15,51.15
16,83.2
17,70.65
18,36.77
19,45.62
20,64.12
21,36.45
22,37.08
23,49.84
24,52.69
25,32.82
26,49.03
27,62.56
28,64.27
29,116.75
30,59.76
31,35.14
32,44.07
33,68.91
34,36.12
35,101.99
36,27.15
37,104.65
38,63.82
39,95.48
40,47.59
41,64.49
42,32.56
43,65.74
44,105.21
45,67.12
46,50.09
47,43.93
48,43.36
49,29.85
50,44.23
51,60.56
52,34.62
53,62.9
54,72.36
55,59.84
56,50.35
57,113.79
58,31.71
59,54.0
60,44.19
61,45.57
62,30.88
63,118.69
64,83.18
65,30.11
66,75.46
67,85.1
68,63.7
69,61.85
70,85.15
71,39.0
72,57.99
73,69.51
74,50.28
75,48.27
76,50.78
77,59.99
78,61.97
79,80.0
80,88.21
81,43.9
82,79.37
83,36.46
84,27.93
85,59.12
86,77.75
87,48.52
88,52.43
89,35.24
90,30.43
91,47.17
92,58.89
93,85.07
94,49.6
95,72.13
96,81.89
97,55.76
98,44.11
99,120.0
100,77.13
101,126.03
102,57.46
103,76.11
104,59.49
105,54.19
106,45.85
107,67.06
108,42.13
109,34.82
110,85.78
111,91.63
112,56.26
113,37.85
114,53.07
115,44.4
116,66.16
117,32.27
118,41.23
119,35.11
120,33.14
121,84.42
122,48.36
123,33.97
124,64.38
125,56.0
126,47.09
127,44.43
128,43.54
129,61.16
130,38.3
131,43.06
132,45.57
133,48.27
134,68.69
135,87.53
